date,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,
22-Feb,70,62.8,41,32.4,42.4,52,57.7,36.9,1,37.9,43.5,54.3,30.2,44.4,57.4,38.9,39.2,,,,,
23-Feb,70.5,63.1,42,32.6,43.5,53.6,59.8,37.6,0.9,38.2,43.7,54.4,31,45,57.3,38.9,39.1,,,,,
24-Feb,70.9,63.2,41.7,32.7,44,53.9,60.6,39,0.8,38.2,43.8,55.4,31.1,47.5,57.8,39.1,39,,,,,
25-Feb,72.2,63.5,42.4,33.6,44.1,56.1,61.6,39.7,0.8,38.4,43.7,56.5,31.1,48.1,57.7,39.2,39.1,,,,,
26-Feb,72.5,63.7,43.7,34.6,44.1,57.8,64.5,39.5,0.8,38.4,44.1,57.7,31.1,48.4,60,39.4,39.4,,,,,
27-Feb,72.7,63.8,43.9,35.6,44.3,58.5,64.9,39.5,0.8,38.5,44.5,58.2,31.1,48.7,60.7,40.6,40.4,,,,,
28-Feb,72.9,64.3,43.9,35.4,46.1,58.5,65.5,39.4,0.8,38.7,45,59.5,31.4,49,61,42.3,40.8,,,,,
Feb-29,,64.2,,,,58.9,,,,39.3,,,,49.6,,,,,,,,
1-Mar,73.6,65.1,44,34.8,47.1,59.7,66.9,39.6,0.8,39.2,45.5,60.4,31.4,50.3,61.4,43.9,41.4,,,,,
2-Mar,74.3,65,45.9,34.4,47.6,59.9,66.2,40.3,0.8,41,46.5,61,31.4,50.9,61.5,43.1,41.7,,,,,
3-Mar,75,65,44.6,34.3,48.2,60.9,66.2,42.6,1,41.7,47.8,61.4,31.5,52.6,61.6,42.5,42.8,,,,,
4-Mar,75.6,66.8,43.6,34.4,49.5,63,65.9,44.4,1,39.7,50,61.7,31.4,53.3,61.8,41.8,43.9,,,,,
5-Mar,75.6,67.1,43.6,33.9,50.5,63.7,65.9,45.4,1,39,50.8,62,31.4,53.5,62.3,41.6,44,,,,,
6-Mar,75.8,67.3,44.3,33.9,51.1,65.3,66.1,46.1,1,38.3,51.9,62.5,31.5,54.5,63,42.1,44.1,,,,,
7-Mar,74.7,67.5,44.4,33.8,51.2,65.5,66.5,47.7,0.9,37.8,52.3,62.6,32,55.1,63.2,42.7,44.1,,,,,
8-Mar,74.7,68.1,45.5,33.9,51.2,65.6,66.9,46,0.8,38.3,53.5,62.9,32.2,55.4,63.7,43.1,44.1,,,,,
9-Mar,75.1,68.4,45.8,34,51.9,65.6,67,47.3,0.7,38.7,54,65.1,32.5,55.9,63.7,43.5,44.2,,,,,
10-Mar,75.7,68.4,46.3,33.8,53.9,67.8,67.1,47.5,0.4,40.5,55,65.2,32.3,55.9,63.7,43.2,44.2,,,,,
11-Mar,77.9,69.7,46.3,34,56.1,70,67.5,47.2,0,41.5,55.7,65.2,32.2,56.9,63.8,43.2,44.7,,,,,
12-Mar,71.7,69.2,46.3,35.9,56.7,71.7,67.9,47.3,0,41.9,55.8,65.1,33,57.5,63.9,43.7,45.3,,,,,
13-Mar,70.2,68.8,46.5,37,58.1,73.5,68.7,47.5,0,42.3,55.2,65.2,33.3,57.7,64,44.6,46.8,,,,,
14-Mar,77.4,69,47,37.4,59.3,74.7,69,47.5,0,43.1,55.3,65.9,33.2,57.7,64.1,45.2,48.4,,,,,
15-Mar,78.6,69.5,49.1,37.7,60.6,76.8,68,48.5,0,44.1,52.4,66.3,33.1,57.8,64.8,46.9,48.5,,,,,
16-Mar,80.1,70.2,50.4,37.9,62.7,78.3,66.7,50.1,0,44.7,50,66.2,33.6,58,64.9,48.1,49,,,,,
17-Mar,81.2,70.7,51.6,38.3,64.3,79.8,66.1,49.6,0,44.9,50.2,66.2,33.3,57.8,65.1,48.3,49.1,,,,,
18-Mar,81.3,71.5,52.2,38.6,64.4,80.5,66.4,49.5,0,44.8,51,66.1,33.3,58.1,65.2,49.3,49.3,,,,,
19-Mar,76.7,71.9,53.3,38.3,64.7,80.9,67.4,49.7,0,44.9,50.1,66.3,33.4,58.2,65.5,49.6,49.4,,,,,
20-Mar,72.3,72.5,55,38.2,65,81.2,68.9,51.4,0,44.9,50.3,66.5,33.8,58.2,66.1,51,49.5,,,,,
21-Mar,73.3,73.5,57.5,38.3,65.2,82.3,71.1,52.1,0,45,51.5,66.6,33.9,58.6,67,52,49.4,,,,,
22-Mar,77.4,74.2,56.2,39.2,65.8,83,71.7,52.3,0,45.2,52.9,66.7,33.8,58.8,68.4,52.6,49.6,,,,,
